url,title,content_type,author,date,tags,categories,text,description,companies,people,money,scraped_at
https://rb.ru/news/v-rossii-vstupil-v-silu-novyj-poryadok-oformleniya-sim-kart-ne-bolee-20-na-cheloveka/,,news,Анастасия Москаль,"14 ноября 2025, 22:30",Россия,Новости,,"С 1 ноября 2025 года в России введен лимит на количество сим-карт, которые могут быть оформлены на одного гражданина: не более 20 номеров у всех операторов связи. Требование сопровождается обязательной верификацией личности через паспорт и ЕСИА. Операторы связи подтвердили, что ограничения уже работают и позволяют сократить число «серых» и анонимных номеров.",,,,2025-11-15T01:47:03.409951
https://rb.ru/news/yandeks-utverdil-pravilnoe-napisanie-prompt-polzovateli-pishut-promt-no-servisy-perehodyat-na-novyj-standart/,,news,Никита Стаценко,"14 ноября 2025, 22:30",Тренды; Россия,Новости,,"Яндекс официально утвердил написание «промпт» как корректное и начал менять его во всех сервисах. Решение приняли после разъяснений Института русского языка им. В.В. Виноградова РАН — несмотря на то, что 80% пользователей продолжают искать слово с формулировкой «промт». Выбор между «промт» и «промпт» напрямую связан с тем, какие задачи решает пользователь.",Яндекс,,,2025-11-15T01:47:03.435461
https://rb.ru/news/t2-predstavil-novogo-reklamnogo-igroka-t2-adtech-eksperty-ne-speshat-nazyvat-ego-produktom-sozdannym-s-nulya/,,news,Анастасия Москаль,"13 ноября 2025, 20:13",Стартапы; IT; Россия; Бизнес,Новости,,"T2 представила новый бренд T2 AdTech — он объединяет все активы оператора на рекламном рынке. Решения построены на данных технологии идентификации пользователей Stable ID, ИИ-технологиях, антифрод-наработках и работе с собственным и партнёрским инвентарём. Эксперты отмечают: T2 максимально объединяет существующие активы, но эффективность такого подхода будет зависеть от подхода компании.",T2 AdTech,,,2025-11-15T01:47:03.456924
https://rb.ru/news/kinopoisk-obyavil-o-masshtabnom-partnyorstve-so-strimingami-i-tv-rynok-o-novoj-ekosisteme-vokrug-videokontenta/,,news,Дарья Крестьянинова,"14 ноября 2025, 19:30",Тренды; Россия; Бизнес,Новости,,Теперь Кинопоиск будет работать как агрегатор подписок и контента: сервис уже начал продавать подписки на онлайн-кинотеатры партнёров и формировать кросс-платформенные рекомендации. Рынок инициативу поддерживает.,,Теперь Кинопоиск,,2025-11-15T01:47:03.471440
https://rb.ru/news/v-tope-smartfony-i-novogodnie-podarki-marketplejsy-rasskazali-o-samyh-populyarnyh-tovarah-na-rasprodazhe-1111/,,news,Анастасия Москаль,"13 ноября 2025, 17:22",Россия; Маркетплейсы,Новости,,"Ozon, Wildberries, М.Видео и Яндекс Маркет отметили значительный рост покупок по итогам распродажи 11.11. Площадки зафиксировали рекордный трафик с начала 2025 года, увеличение оборота и всплеск активности покупателей. Формат однодневной акции вновь подтвердил статус одной из ключевых точек продаж в году.",Wildberries; Яндекс; Ozon,,,2025-11-15T01:47:03.505317
https://rb.ru/stories/best-worst-for-expats/,,stories,Елена Лиханова,"05 марта 2025, 17:21",,Истории,,"Консалтинговая компания Mercer составила рейтинг лучших и худших городов для переезда. В него включили 241 город на пяти континентах. По версии Merecer, большинство из наиболее привлекательных локаций расположены в Европе: например, в топ-10 вошли три города в Германии и два — в Швейцарии.
В материале — лидеры и аутсайдеры рейтинга.",Mercer,,,2025-11-15T02:35:09.346774
https://rb.ru/stories/lichnye-prodazhi/,,stories,Владислав Афонин,"17 июня 2025, 12:00",Бизнес,Истории,,"Что такое личные продажи и их виды? Технологии личных продаж, особенности организации и роль личных продаж в современном бизнесе.",,,,2025-11-15T02:35:09.570039
https://rb.ru/stories/vernut-dengi-za-uslugi/,,stories,Владислав Афонин,"07 июля 2025, 17:41",,Истории,,Как вернуть деньги за навязанную услугу? Какие услуги считаются навязанными и как вернуть средства? Судебная практика.,,,,2025-11-15T02:35:09.610061
https://rb.ru/stories/pochemu-ne-povysili/,,stories,Елена Лиханова,"24 июля 2025, 09:00",Карьера,Истории,,"Карьерный рост может остановиться, если сотрудник не готов брать ответственность. Какие качества мешают повышению, читайте на RB.ru.",,,,2025-11-15T02:35:09.688678
https://rb.ru/stories/plastic-is-everywhere/,,stories,Елена Лиханова,"20 июня 2025, 16:17",,Истории,,"Если мы — это то, что мы едим, у нас есть все больше объяснений тому, каким образом частицы пластика проникают в нашу кровь, кишечник и даже некоторые органы. Недавние исследования обнаружили высокое содержание микропластика в бутилированной воде и базовых источниках белка, в том числе курице, говядине и рыбе.",,,,2025-11-15T02:35:09.816999
